"key","trad"
"LetsPlay","Commencer !"
"Back","Retour"
"Cooperation","Cooperation"
"CooperationDesc","Faites le plus d'échanges possible, alors que la balle va de plus en plus vite !"
"TimeLimit","Time Limit"
"TimeLimitDesc","Qui réussira à marquer le plus de point avant la fin du temps imparti ?"
"TimeLimitOption","Limite"
"ScoreLimit","Score Limit"
"ScoreLimitDesc","Qui sera le premier à atteindre la limite de score ? "
"ScoreLimitOption","Score"
"PlayerOneLabel","Joueur 1"
"PlayerTwoLabel","Joueur 2"
"DifficultyLabel","Difficulté"
"DifficultyEasy","Facile"
"DifficultyMedium","Moyen"
"DifficultyHard","Difficile"
"StartGameButton","Démarrer"
"PressButtonLabel","Appuyez sur"
"SpeedParametersCharacter","Vitesse"
"ReboundParametersCharacter","Rebond"
"Select","Selectionner"
"Confirm","Confirmer"
"DefaultValue","Valeur par défault"
"PlayerNumber","Nombre de joueur"
"ParameterLabel","Paramètres"
"ReadyLabel","Prêt !"
"SettingsLabel","Paramètres"
"QuitPopUpLabel","Quitter"
"QuitPopUpDesc","Voulez-vous vraiment quitter le jeu ?"
"Quit","Quitter"
"Continue","Continuer"
"LengthParametersCharacter","Taille"
